Data,Campanha,Custo
2025-04-18,Campaign_Generic_1,246.19
2025-04-18,Campaign_Generic_2,66.19
2025-04-18,Campaign_Search_Brand,688.39
2025-04-18,Campaign_PMax_1,2164.19
2025-04-19,Campaign_Generic_1,395.03
2025-04-19,Campaign_Generic_2,127.29
2025-04-19,Campaign_Search_Brand,917.36
2025-04-19,Campaign_PMax_1,2379.89
2025-04-20,Campaign_Generic_1,287.44
2025-04-20,Campaign_Generic_2,104.16
2025-04-20,Campaign_Search_Brand,781.36
2025-04-20,Campaign_PMax_1,2428.77
2025-04-21,Campaign_Generic_1,267.02
2025-04-21,Campaign_Generic_2,82.25
2025-04-21,Campaign_Search_Brand,1128.38
2025-04-21,Campaign_PMax_1,2687.86
2025-04-22,Campaign_Generic_1,259.03
2025-04-22,Campaign_Generic_2,89.22
2025-04-22,Campaign_Search_Brand,1308.24
2025-04-22,Campaign_PMax_1,2921.85
2025-04-23,Campaign_Generic_1,224.79
2025-04-23,Campaign_Generic_2,78.11
2025-04-23,Campaign_Search_Brand,1465.05
2025-04-23,Campaign_PMax_1,3155.73
2025-04-24,Campaign_Generic_1,236.06
2025-04-24,Campaign_Generic_2,65.16
2025-04-24,Campaign_Search_Brand,1347.6
2025-04-24,Campaign_PMax_1,2557.01
2025-04-25,Campaign_Generic_1,229.14
2025-04-25,Campaign_Generic_2,58.67
2025-04-25,Campaign_Search_Brand,1082.61
2025-04-25,Campaign_PMax_1,2770.01
2025-04-26,Campaign_Generic_1,246.94
2025-04-26,Campaign_Generic_2,125.71
2025-04-26,Campaign_Search_Brand,871.53
2025-04-26,Campaign_PMax_1,2944.09
2025-04-27,Campaign_Generic_1,199.06
2025-04-27,Campaign_Generic_2,100.16
2025-04-27,Campaign_Search_Brand,831.77
2025-04-27,Campaign_PMax_1,3031.17
2025-04-28,Campaign_Generic_1,276.5
2025-04-28,Campaign_Generic_2,72.87
2025-04-28,Campaign_Search_Brand,1179.73
2025-04-28,Campaign_PMax_1,2981.6
2025-04-29,Campaign_Generic_1,169.71
2025-04-29,Campaign_Generic_2,79.55
2025-04-29,Campaign_Search_Brand,1259.72
2025-04-29,Campaign_PMax_1,3676.89
2025-04-30,Campaign_Generic_1,169.27
2025-04-30,Campaign_Generic_2,66.55
2025-04-30,Campaign_Search_Brand,1272.37
2025-04-30,Campaign_PMax_1,3346.5
2025-05-01,Campaign_Generic_1,200.61
2025-05-01,Campaign_Generic_2,77.56
2025-05-01,Campaign_Search_Brand,834.41
2025-05-01,Campaign_PMax_1,3400.7
2025-05-02,Campaign_Generic_1,176.39
2025-05-02,Campaign_Generic_2,103.18
2025-05-02,Campaign_Search_Brand,1152.71
2025-05-02,Campaign_PMax_1,3403.89
2025-05-03,Campaign_Generic_1,216.01
2025-05-03,Campaign_Generic_2,93.51
2025-05-03,Campaign_Search_Brand,952.25
2025-05-03,Campaign_PMax_1,3505.32
2025-05-04,Campaign_Generic_1,215.89
2025-05-04,Campaign_Generic_2,101.09
2025-05-04,Campaign_Search_Brand,1133.62
2025-05-04,Campaign_PMax_1,3440.27
2025-05-05,Campaign_Generic_1,155.69
2025-05-05,Campaign_Generic_2,87.66
2025-05-05,Campaign_Search_Brand,1460.67
2025-05-05,Campaign_PMax_1,4080.69
2025-05-06,Campaign_Generic_1,199.35
2025-05-06,Campaign_Generic_2,101.1
2025-05-06,Campaign_Search_Brand,1553.44
2025-05-06,Campaign_PMax_1,4530.13
2025-05-07,Campaign_Generic_1,235.97
2025-05-07,Campaign_Generic_2,107.39
2025-05-07,Campaign_Search_Brand,1747.85
2025-05-07,Campaign_PMax_1,4711.12
2025-05-08,Campaign_Generic_1,176.56
2025-05-08,Campaign_Generic_2,83.51
2025-05-08,Campaign_Search_Brand,1769.19
2025-05-08,Campaign_PMax_1,4641.92
2025-05-09,Campaign_Generic_1,275.34
2025-05-09,Campaign_Generic_2,59.09
2025-05-09,Campaign_Search_Brand,1773.89
2025-05-09,Campaign_PMax_1,5123.71
2025-05-10,Campaign_Generic_1,248.37
2025-05-10,Campaign_Generic_2,89.87
2025-05-10,Campaign_Search_Brand,1395.49
2025-05-10,Campaign_PMax_1,5545.69
2025-05-11,Campaign_Generic_1,259.63
2025-05-11,Campaign_Generic_2,98.85
2025-05-11,Campaign_Search_Brand,1110.43
2025-05-11,Campaign_PMax_1,4540.47
2025-05-12,Campaign_Generic_1,202.48
2025-05-12,Campaign_Generic_2,118.13
2025-05-12,Campaign_Search_Brand,1775.5
2025-05-12,Campaign_PMax_1,5016.47
2025-05-13,Campaign_Generic_1,200.6
2025-05-13,Campaign_Generic_2,110.6
2025-05-13,Campaign_Search_Brand,1810.94
2025-05-13,Campaign_PMax_1,4582.08
2025-05-14,Campaign_Generic_1,337.47
2025-05-14,Campaign_Generic_2,136.28
2025-05-14,Campaign_Search_Brand,1576.78
2025-05-14,Campaign_PMax_1,4136.0
2025-05-15,Campaign_Generic_1,305.28
2025-05-15,Campaign_Generic_2,121.09
2025-05-15,Campaign_Search_Brand,1427.52
2025-05-15,Campaign_PMax_1,3614.88
2025-05-16,Campaign_Generic_1,232.05
2025-05-16,Campaign_Generic_2,93.09
2025-05-16,Campaign_Search_Brand,1409.22
2025-05-16,Campaign_PMax_1,3004.93
2025-05-17,Campaign_Generic_1,245.65
2025-05-17,Campaign_Generic_2,70.99
2025-05-17,Campaign_Search_Brand,1271.39
2025-05-17,Campaign_PMax_1,2851.22
2025-05-18,Campaign_Generic_1,241.95
2025-05-18,Campaign_Generic_2,105.68
2025-05-18,Campaign_Search_Brand,1365.24
2025-05-18,Campaign_PMax_1,3022.24
2025-05-19,Campaign_Generic_1,220.96
2025-05-19,Campaign_Generic_2,75.77
2025-05-19,Campaign_Search_Brand,1513.64
2025-05-19,Campaign_PMax_1,2793.05
2025-05-20,Campaign_Generic_1,244.91
2025-05-20,Campaign_Generic_2,98.94
2025-05-20,Campaign_Search_Brand,1432.0
2025-05-20,Campaign_PMax_1,2741.31
2025-05-21,Campaign_Generic_1,219.18
2025-05-21,Campaign_Generic_2,85.8
2025-05-21,Campaign_Search_Brand,1197.52
2025-05-21,Campaign_PMax_1,2506.01
2025-05-22,Campaign_Generic_1,161.63
2025-05-22,Campaign_Generic_2,76.38
2025-05-22,Campaign_Search_Brand,1151.3
2025-05-22,Campaign_PMax_1,2284.76
2025-05-23,Campaign_Generic_1,158.34
2025-05-23,Campaign_Generic_2,79.58
2025-05-23,Campaign_Search_Brand,1216.4
2025-05-23,Campaign_PMax_1,2651.61
2025-05-24,Campaign_Generic_1,163.01
2025-05-24,Campaign_Generic_2,75.25
2025-05-24,Campaign_Search_Brand,1071.26
2025-05-24,Campaign_PMax_1,2726.59
2025-05-25,Campaign_Generic_1,211.23
2025-05-25,Campaign_Generic_2,82.04
2025-05-25,Campaign_Search_Brand,1278.15
2025-05-25,Campaign_PMax_1,2652.51
2025-05-26,Campaign_Generic_1,177.64
2025-05-26,Campaign_Generic_2,73.77
2025-05-26,Campaign_Search_Brand,1520.11
2025-05-26,Campaign_PMax_1,2251.9
2025-05-27,Campaign_Generic_1,166.78
2025-05-27,Campaign_Generic_2,85.32
2025-05-27,Campaign_Search_Brand,1294.03
2025-05-27,Campaign_PMax_1,1953.38
2025-05-28,Campaign_Generic_1,172.53
2025-05-28,Campaign_Generic_2,95.27
2025-05-28,Campaign_Search_Brand,1644.56
2025-05-28,Campaign_PMax_1,2336.26
2025-05-29,Campaign_Generic_1,174.46
2025-05-29,Campaign_Generic_2,118.64
2025-05-29,Campaign_Search_Brand,1538.81
2025-05-29,Campaign_PMax_1,2645.97
2025-05-29,Campaign_PMax_2,100.16
2025-05-30,Campaign_Generic_1,142.95
2025-05-30,Campaign_Generic_2,99.15
2025-05-30,Campaign_Search_Brand,1492.51
2025-05-30,Campaign_PMax_1,4432.46
2025-05-30,Campaign_PMax_2,494.06
2025-05-31,Campaign_Generic_1,326.3
2025-05-31,Campaign_Generic_2,128.0
2025-05-31,Campaign_Search_Brand,1416.23
2025-05-31,Campaign_PMax_1,2836.0
2025-05-31,Campaign_PMax_2,644.75
2025-06-01,Campaign_Generic_1,290.64
2025-06-01,Campaign_Generic_2,140.43
2025-06-01,Campaign_Search_Brand,1581.87
2025-06-01,Campaign_PMax_1,2860.93
2025-06-01,Campaign_PMax_2,621.71
2025-06-02,Campaign_Generic_1,263.14
2025-06-02,Campaign_Generic_2,130.41
2025-06-02,Campaign_Search_Brand,1783.37
2025-06-02,Campaign_PMax_1,3195.4
2025-06-03,Campaign_Generic_1,276.49
2025-06-03,Campaign_Generic_2,123.34
2025-06-03,Campaign_Search_Brand,1948.66
2025-06-03,Campaign_PMax_1,2590.13
2025-06-04,Campaign_Generic_1,286.89
2025-06-04,Campaign_Generic_2,100.13
2025-06-04,Campaign_Search_Brand,1742.05
2025-06-04,Campaign_PMax_1,2947.58
2025-06-05,Campaign_Generic_1,316.3
2025-06-05,Campaign_Generic_2,110.7
2025-06-05,Campaign_Search_Brand,1780.7
2025-06-05,Campaign_PMax_1,3096.5
2025-06-06,Campaign_Generic_1,249.28
2025-06-06,Campaign_Generic_2,109.32
2025-06-06,Campaign_Search_Brand,2083.15
2025-06-06,Campaign_PMax_1,2967.04
2025-06-07,Campaign_Generic_1,305.1
2025-06-07,Campaign_Generic_2,101.54
2025-06-07,Campaign_Search_Brand,1572.86
2025-06-07,Campaign_PMax_1,2799.46
2025-06-08,Campaign_Generic_1,338.93
2025-06-08,Campaign_Generic_2,141.81
2025-06-08,Campaign_Search_Brand,1618.27
2025-06-08,Campaign_PMax_1,2835.48
2025-06-09,Campaign_Generic_1,492.79
2025-06-09,Campaign_Generic_2,112.4
2025-06-09,Campaign_Search_Brand,2995.47
2025-06-09,Campaign_PMax_1,2919.28
2025-06-09,Campaign_Shopping_1,131.51
2025-06-10,Campaign_Generic_1,306.31
2025-06-10,Campaign_Generic_2,102.25
2025-06-10,Campaign_Search_Brand,2424.91
2025-06-10,Campaign_PMax_1,2726.05
2025-06-10,Campaign_Shopping_1,164.19
2025-06-11,Campaign_Generic_1,435.03
2025-06-11,Campaign_Generic_2,110.09
2025-06-11,Campaign_Search_Brand,2258.28
2025-06-11,Campaign_PMax_1,2410.12
2025-06-11,Campaign_Shopping_1,162.37
2025-06-12,Campaign_Generic_1,467.11
2025-06-12,Campaign_Generic_2,96.84
2025-06-12,Campaign_Search_Brand,3358.74
2025-06-12,Campaign_PMax_1,2140.57
2025-06-12,Campaign_PMax_2,1103.61
2025-06-12,Campaign_Shopping_1,161.88
2025-06-13,Campaign_Generic_1,283.43
2025-06-13,Campaign_Generic_2,90.3
2025-06-13,Campaign_Search_Brand,1619.84
2025-06-13,Campaign_PMax_1,2469.93
2025-06-13,Campaign_PMax_2,803.85
2025-06-13,Campaign_Shopping_1,160.41
2025-06-14,Campaign_Generic_1,182.4
2025-06-14,Campaign_Generic_2,78.71
2025-06-14,Campaign_Search_Brand,1215.66
2025-06-14,Campaign_PMax_1,2938.65
2025-06-14,Campaign_PMax_2,333.5
2025-06-14,Campaign_Shopping_1,169.71
2025-06-15,Campaign_Generic_1,340.73
2025-06-15,Campaign_Generic_2,174.3
2025-06-15,Campaign_Search_Brand,1466.27
2025-06-15,Campaign_PMax_1,2481.94
2025-06-15,Campaign_PMax_2,330.34
2025-06-15,Campaign_Shopping_1,181.17
2025-06-16,Campaign_Generic_1,215.63
2025-06-16,Campaign_Generic_2,103.67
2025-06-16,Campaign_Search_Brand,1672.66
2025-06-16,Campaign_PMax_1,2580.11
2025-06-16,Campaign_PMax_2,277.21
2025-06-16,Campaign_Shopping_1,161.07
2025-06-17,Campaign_Generic_1,364.9
2025-06-17,Campaign_Generic_2,108.12
2025-06-17,Campaign_Search_Brand,1425.16
2025-06-17,Campaign_PMax_1,2434.34
2025-06-17,Campaign_PMax_2,276.6
2025-06-17,Campaign_Shopping_1,169.41
2025-06-18,Campaign_Generic_1,240.1
2025-06-18,Campaign_Generic_2,90.84
2025-06-18,Campaign_Search_Brand,1425.15
2025-06-18,Campaign_PMax_1,2225.16
2025-06-18,Campaign_PMax_2,237.75
2025-06-18,Campaign_Shopping_1,194.39
2025-06-19,Campaign_Generic_1,203.76
2025-06-19,Campaign_Generic_2,91.62
2025-06-19,Campaign_Search_Brand,1366.29
2025-06-19,Campaign_PMax_1,2877.21
2025-06-19,Campaign_PMax_2,489.79
2025-06-19,Campaign_Shopping_1,177.98
2025-06-20,Campaign_Generic_1,215.11
2025-06-20,Campaign_Generic_2,92.94
2025-06-20,Campaign_Search_Brand,1179.16
2025-06-20,Campaign_PMax_1,2162.59
2025-06-20,Campaign_PMax_2,204.71
2025-06-20,Campaign_Shopping_1,167.42
2025-06-21,Campaign_Generic_1,203.81
2025-06-21,Campaign_Generic_2,93.2
2025-06-21,Campaign_Search_Brand,1083.84
2025-06-21,Campaign_PMax_1,2548.05
2025-06-21,Campaign_PMax_2,283.1
2025-06-21,Campaign_Shopping_1,147.87
2025-06-22,Campaign_Generic_1,199.37
2025-06-22,Campaign_Generic_2,121.51
2025-06-22,Campaign_Search_Brand,1313.01
2025-06-22,Campaign_PMax_1,2640.32
2025-06-22,Campaign_PMax_2,479.11
2025-06-22,Campaign_Shopping_1,184.71
2025-06-23,Campaign_Generic_1,270.62
2025-06-23,Campaign_Generic_2,124.15
2025-06-23,Campaign_Search_Brand,1493.16
2025-06-23,Campaign_PMax_1,2724.1
2025-06-23,Campaign_PMax_2,295.82
2025-06-23,Campaign_Shopping_1,190.19
2025-06-24,Campaign_Generic_1,179.99
2025-06-24,Campaign_Generic_2,115.68
2025-06-24,Campaign_Search_Brand,1491.04
2025-06-24,Campaign_PMax_1,3039.27
2025-06-24,Campaign_PMax_2,170.82
2025-06-24,Campaign_Shopping_1,172.9
2025-06-25,Campaign_Generic_1,213.33
2025-06-25,Campaign_Generic_2,76.08
2025-06-25,Campaign_Search_Brand,1499.65
2025-06-25,Campaign_PMax_1,3636.24
2025-06-25,Campaign_PMax_2,455.46
2025-06-25,Campaign_Shopping_1,181.33
2025-06-26,Campaign_Generic_1,227.81
2025-06-26,Campaign_Generic_2,98.02
2025-06-26,Campaign_Search_Brand,2006.08
2025-06-26,Campaign_PMax_1,3863.25
2025-06-26,Campaign_PMax_2,347.61
2025-06-26,Campaign_Shopping_1,193.9
2025-06-27,Campaign_Generic_1,157.5
2025-06-27,Campaign_Generic_2,89.25
2025-06-27,Campaign_Search_Brand,1468.89
2025-06-27,Campaign_PMax_1,3393.09
2025-06-27,Campaign_PMax_2,315.8
2025-06-27,Campaign_Shopping_1,186.83
2025-06-28,Campaign_Generic_1,183.76
2025-06-28,Campaign_Generic_2,107.9
2025-06-28,Campaign_Search_Brand,1267.43
2025-06-28,Campaign_PMax_1,3644.02
2025-06-28,Campaign_PMax_2,503.33
2025-06-28,Campaign_Shopping_1,190.94
2025-06-29,Campaign_Generic_1,320.69
2025-06-29,Campaign_Generic_2,119.07
2025-06-29,Campaign_Search_Brand,1368.92
2025-06-29,Campaign_PMax_1,3322.05
2025-06-29,Campaign_PMax_2,368.65
2025-06-29,Campaign_Shopping_1,198.77
2025-06-30,Campaign_Generic_1,375.03
2025-06-30,Campaign_Generic_2,84.53
2025-06-30,Campaign_Search_Brand,1738.34
2025-06-30,Campaign_PMax_1,3232.11
2025-06-30,Campaign_PMax_2,357.13
2025-06-30,Campaign_Shopping_1,180.1
2025-07-01,Campaign_Generic_1,223.29
2025-07-01,Campaign_Generic_2,101.08
2025-07-01,Campaign_Search_Brand,1443.56
2025-07-01,Campaign_PMax_1,3518.04
2025-07-01,Campaign_PMax_2,303.7
2025-07-01,Campaign_Shopping_1,362.07
2025-07-02,Campaign_Generic_1,227.3
2025-07-02,Campaign_Generic_2,133.91
2025-07-02,Campaign_Search_Brand,1513.24
2025-07-02,Campaign_PMax_1,3421.14
2025-07-02,Campaign_PMax_2,409.78
2025-07-02,Campaign_Shopping_1,344.83
2025-07-03,Campaign_Generic_1,338.94
2025-07-03,Campaign_Generic_2,114.07
2025-07-03,Campaign_Search_Brand,1675.18
2025-07-03,Campaign_PMax_1,2873.88
2025-07-03,Campaign_PMax_2,295.76
2025-07-03,Campaign_Shopping_1,269.21
2025-07-04,Campaign_Generic_1,270.92
2025-07-04,Campaign_Generic_2,139.31
2025-07-04,Campaign_Search_Brand,1712.49
2025-07-04,Campaign_PMax_1,2935.83
2025-07-04,Campaign_PMax_2,235.16
2025-07-04,Campaign_Shopping_1,272.8
2025-07-05,Campaign_Generic_1,275.11
2025-07-05,Campaign_Generic_2,139.21
2025-07-05,Campaign_Search_Brand,1636.49
2025-07-05,Campaign_PMax_1,3633.35
2025-07-05,Campaign_PMax_2,386.56
2025-07-05,Campaign_Shopping_1,264.59
2025-07-06,Campaign_Generic_1,397.21
2025-07-06,Campaign_Generic_2,113.59
2025-07-06,Campaign_Search_Brand,2106.12
2025-07-06,Campaign_PMax_1,3611.55
2025-07-06,Campaign_PMax_2,334.03
2025-07-06,Campaign_Shopping_1,297.02
2025-07-07,Campaign_Generic_1,364.78
2025-07-07,Campaign_Generic_2,117.47
2025-07-07,Campaign_Search_Brand,2927.18
2025-07-07,Campaign_PMax_1,3535.72
2025-07-07,Campaign_PMax_2,308.78
2025-07-07,Campaign_Shopping_1,286.73
2025-07-08,Campaign_Generic_1,411.28
2025-07-08,Campaign_Generic_2,126.48
2025-07-08,Campaign_Search_Brand,2566.96
2025-07-08,Campaign_PMax_1,3105.57
2025-07-08,Campaign_PMax_2,258.7
2025-07-08,Campaign_Shopping_1,284.51
2025-07-09,Campaign_Generic_1,428.91
2025-07-09,Campaign_Generic_2,154.82
2025-07-09,Campaign_Search_Brand,2066.1
2025-07-09,Campaign_PMax_1,3640.5
2025-07-09,Campaign_PMax_2,373.95
2025-07-09,Campaign_Shopping_1,304.08
2025-07-10,Campaign_Generic_1,368.91
2025-07-10,Campaign_Generic_2,202.94
2025-07-10,Campaign_Search_Brand,2100.57
2025-07-10,Campaign_PMax_1,3253.97
2025-07-10,Campaign_PMax_2,251.51
2025-07-10,Campaign_Shopping_1,274.36
2025-07-11,Campaign_Generic_1,274.8
2025-07-11,Campaign_Generic_2,130.47
2025-07-11,Campaign_Search_Brand,2147.55
2025-07-11,Campaign_PMax_1,3179.42
2025-07-11,Campaign_PMax_2,286.0
2025-07-11,Campaign_Shopping_1,328.99
2025-07-12,Campaign_Generic_1,217.18
2025-07-12,Campaign_Generic_2,163.22
2025-07-12,Campaign_Search_Brand,1879.18
2025-07-12,Campaign_PMax_1,4956.66
2025-07-12,Campaign_PMax_2,443.6
2025-07-12,Campaign_Shopping_1,339.41
2025-07-13,Campaign_Generic_1,361.57
2025-07-13,Campaign_Generic_2,147.64
2025-07-13,Campaign_Search_Brand,2699.64
2025-07-13,Campaign_PMax_1,4139.43
2025-07-13,Campaign_PMax_2,391.8
2025-07-13,Campaign_Shopping_1,356.97
2025-07-14,Campaign_Generic_1,309.79
2025-07-14,Campaign_Generic_2,141.55
2025-07-14,Campaign_Search_Brand,2767.62
2025-07-14,Campaign_PMax_1,4062.97
2025-07-14,Campaign_PMax_2,375.62
2025-07-14,Campaign_Shopping_1,340.47
2025-07-15,Campaign_Generic_1,309.67
2025-07-15,Campaign_Generic_2,112.46
2025-07-15,Campaign_Search_Brand,2436.04
2025-07-15,Campaign_PMax_1,4000.38
2025-07-15,Campaign_PMax_2,398.0
2025-07-15,Campaign_Shopping_1,397.49
2025-07-16,Campaign_Generic_1,414.51
2025-07-16,Campaign_Generic_2,165.16
2025-07-16,Campaign_Search_Brand,3269.6
2025-07-16,Campaign_PMax_1,3178.02
2025-07-16,Campaign_PMax_2,444.41
2025-07-16,Campaign_Shopping_1,328.97
2025-07-17,Campaign_Generic_1,328.37
2025-07-17,Campaign_Generic_2,134.02
2025-07-17,Campaign_Search_Brand,3017.22
2025-07-17,Campaign_PMax_1,3198.99
2025-07-17,Campaign_PMax_2,437.74
2025-07-17,Campaign_Shopping_1,319.73
2025-07-18,Campaign_Generic_1,295.78
2025-07-18,Campaign_Generic_2,122.52
2025-07-18,Campaign_Search_Brand,1601.18
2025-07-18,Campaign_PMax_1,2078.0
2025-07-18,Campaign_Shopping_1,246.61
2025-07-19,Campaign_Generic_1,284.14
2025-07-19,Campaign_Generic_2,100.19
2025-07-19,Campaign_Search_Brand,1018.63
2025-07-19,Campaign_PMax_1,1610.9
2025-07-19,Campaign_Shopping_1,189.99
2025-07-20,Campaign_Generic_1,316.72
2025-07-20,Campaign_Generic_2,129.4
2025-07-20,Campaign_Search_Brand,932.35
2025-07-20,Campaign_PMax_1,1770.71
2025-07-20,Campaign_Shopping_1,215.73
2025-07-21,Campaign_Generic_1,255.89
2025-07-21,Campaign_Generic_2,127.8
2025-07-21,Campaign_Search_Brand,934.34
2025-07-21,Campaign_PMax_1,1368.07
2025-07-21,Campaign_Shopping_1,164.34
2025-07-22,Campaign_Generic_1,242.85
2025-07-22,Campaign_Generic_2,182.9
2025-07-22,Campaign_Search_Brand,1037.33
2025-07-22,Campaign_PMax_1,1266.35
2025-07-22,Campaign_Shopping_1,175.72
2025-07-23,Campaign_Generic_1,233.47
2025-07-23,Campaign_Generic_2,207.8
2025-07-23,Campaign_Search_Brand,1129.3
2025-07-23,Campaign_PMax_1,1335.32
2025-07-23,Campaign_Shopping_1,161.42
2025-07-24,Campaign_Generic_1,223.74
2025-07-24,Campaign_Generic_2,146.31
2025-07-24,Campaign_Search_Brand,1161.53
2025-07-24,Campaign_PMax_1,996.29
2025-07-24,Campaign_PMax_2,1004.97
2025-07-24,Campaign_Shopping_1,147.96
2025-07-25,Campaign_Generic_1,228.04
2025-07-25,Campaign_Generic_2,103.42
2025-07-25,Campaign_Search_Brand,1141.41
2025-07-25,Campaign_PMax_1,788.18
2025-07-25,Campaign_PMax_2,973.26
2025-07-25,Campaign_Shopping_1,150.05
2025-07-26,Campaign_Generic_1,206.78
2025-07-26,Campaign_Generic_2,154.0
2025-07-26,Campaign_Search_Brand,1231.23
2025-07-26,Campaign_PMax_1,800.21
2025-07-26,Campaign_PMax_2,950.63
2025-07-26,Campaign_Shopping_1,139.64
2025-07-27,Campaign_Generic_1,235.03
2025-07-27,Campaign_Generic_2,161.58
2025-07-27,Campaign_Search_Brand,1221.25
2025-07-27,Campaign_PMax_1,855.83
2025-07-27,Campaign_PMax_2,948.53
2025-07-27,Campaign_Shopping_1,145.99
2025-07-28,Campaign_Generic_1,156.3
2025-07-28,Campaign_Generic_2,136.11
2025-07-28,Campaign_Search_Brand,865.92
2025-07-28,Campaign_PMax_1,813.87
2025-07-28,Campaign_PMax_2,662.57
2025-07-28,Campaign_Shopping_1,148.97
2025-07-29,Campaign_Generic_1,148.72
2025-07-29,Campaign_Generic_2,154.06
2025-07-29,Campaign_Search_Brand,1017.53
2025-07-29,Campaign_PMax_1,829.93
2025-07-29,Campaign_PMax_2,441.36
2025-07-29,Campaign_Shopping_1,173.03
2025-07-30,Campaign_Generic_1,168.04
2025-07-30,Campaign_Generic_2,126.13
2025-07-30,Campaign_Search_Brand,1125.88
2025-07-30,Campaign_PMax_1,941.59
2025-07-30,Campaign_PMax_2,381.41
2025-07-30,Campaign_Shopping_1,360.47
2025-07-31,Campaign_Generic_1,165.46
2025-07-31,Campaign_Generic_2,124.43
2025-07-31,Campaign_Search_Brand,1051.96
2025-07-31,Campaign_PMax_1,1159.31
2025-07-31,Campaign_PMax_2,771.72
2025-07-31,Campaign_Shopping_1,342.77
2025-08-01,Campaign_Generic_1,170.19
2025-08-01,Campaign_Generic_2,89.25
2025-08-01,Campaign_Search_Brand,985.03
2025-08-01,Campaign_PMax_1,1176.47
2025-08-01,Campaign_PMax_2,468.66
2025-08-01,Campaign_Shopping_1,280.62
2025-08-02,Campaign_Generic_1,170.71
2025-08-02,Campaign_Generic_2,122.98
2025-08-02,Campaign_Search_Brand,921.29
2025-08-02,Campaign_PMax_1,1526.17
2025-08-02,Campaign_PMax_2,474.95
2025-08-02,Campaign_Shopping_1,274.95
2025-08-03,Campaign_Generic_1,180.5
2025-08-03,Campaign_Generic_2,159.32
2025-08-03,Campaign_Search_Brand,981.94
2025-08-03,Campaign_PMax_1,1541.75
2025-08-03,Campaign_PMax_2,580.2
2025-08-03,Campaign_Shopping_1,289.87
2025-08-04,Campaign_Generic_1,227.46
2025-08-04,Campaign_Generic_2,111.11
2025-08-04,Campaign_Search_Brand,1611.45
2025-08-04,Campaign_PMax_1,1725.14
2025-08-04,Campaign_PMax_2,719.87
2025-08-04,Campaign_Shopping_1,409.72
2025-08-05,Campaign_Generic_1,310.68
2025-08-05,Campaign_Generic_2,131.51
2025-08-05,Campaign_Search_Brand,1690.62
